comment_id,parent_comment_id,create_time,video_id,content,user_id,nickname,avatar,sub_comment_count,last_modify_ts,ip_location
2.31E+11,0,1720929068,1156200565,"要拍出这种画面，只需要特朗普反应能力ok就行，总统都是经过培训的，被枪击后的培训也有，就是要不怕死，举手呐喊，这样才能抓住机遇，所谓富贵险中求。但是真实中枪后，不是每个总统都能做到不怕死，毕竟演练是演练，真遇到了，你得有足够的肾上腺素支撑你的不怕死，而特朗普真的做到了，他通关这个副本了。
有些人会质疑怎么会刚好有人拍到这几张图，怎么角度这么好，抓拍时机这么好，，，我笑死了。。几十上百台每秒120张照片连拍的索尼a9m3，配备不同焦距的镜头在不同角度，疯狂连拍，这是所有总统活动的媒体标配，你们怎么不问足球比赛为何能拍到运动员射球瞬间。。。。别说拍子弹飞过了，拍子弹划破耳朵表面的瞬间都不是问题。",471102789,甲板上的桅杆,https://i0.hdslb.com/bfs/face/cdce79a3f90752060806accb44d1bfb5e1d0fc90.jpg,1,1.74E+12,广东
2.31E+11,0,1720920456,1156200565,"1. 2人死亡———名特朗普支持者和枪手本人。
2. 2人受伤——特朗普和另一名平民。
3.枪手被特工开枪打死。
4.警方确认枪击事件是用枪支进行的。
5.特朗普得到了必要的帮助，并表示自己很好。
6、拜登、奥巴马谴责暗杀企图，呼吁拒绝“政治暴力”
枪手目前被确在距离特朗普站立位置约 125 米或 400 英尺的屋顶上。
特朗普的发言人表示，这位前总统“状况良好”。“特朗普总统感谢执法部门和急救人员在这次令人发指的袭击中迅速采取行动。他目前情况良好，正在当地一家医疗机构接受检查。更多细节将陆续公布。”",12188922,杨柳彤云,http://i0.hdslb.com/bfs/face/3433cbc89013cb90f33260777f8ddb2e549b9328.jpg,0,1.74E+12,山东
2.32E+11,0,1721011004,1156200565,这事就根本不可能是演戏，狙击手是我爹我都不敢让他喵我头啊，又不是游戏准星指哪打哪，现实但凡一点风刮歪一点脑瓜子就没了[藏狐][藏狐][藏狐],11164847,黑雪公主绘梨衣,https://i2.hdslb.com/bfs/face/7c010ba31f7faa5bebf80626f0a3496bd97197ef.jpg,2,1.74E+12,甘肃
2.31E+11,0,1720956571,1156200565,此事一出，先提前遥祝建国二登宝座了。,1387701,澄三心,https://i0.hdslb.com/bfs/face/e934729bb14321468e99cc553c8b0b2be58aa55a.jpg,1,1.74E+12,黑龙江
2.31E+11,0,1720924670,1156200565,枪手看着是个白人已经有照片流出乐,9205675,fmZHMCYbx7DUPmka,https://i1.hdslb.com/bfs/face/2157b0f2720c3d4ba5f4a6a6478fc9b479ed2762.jpg,10,1.74E+12,浙江
2.31E+11,0,1720947002,1156200565,"最后弹幕一个华盛顿没给我绷住
什么黎明之剑",443572760,17256bi,https://i0.hdslb.com/bfs/face/member/noface.jpg,0,1.74E+12,海南
2.32E+11,0,1720983610,1156200565,特朗普和法尼瓦伦泰从来没有同时出现过，这还不能证明他们是同一个人吗？,5643300,你個壞東西,https://i0.hdslb.com/bfs/face/87fbba1016bcc3e6074bbf54e2be8d0da825ffc1.jpg,1,1.74E+12,四川
2.32E+11,0,1721016879,1156200565,别说maga了   我看这照片我鸡皮疙瘩都炸了。。。这张照片的含金量多少竞选资金都买不来。。,949388,月醉行歌_,https://i2.hdslb.com/bfs/face/d2b5eea1525cc09b8fe79f76986fb2bfdeb22909.jpg,0,1.74E+12,安徽
2.32E+11,0,1720984237,1156200565,"在子弹飞来的一瞬川普蓦然回首，躲开了致命的一击。
“我当时听见了上帝的声音。”他平静地说道，“上帝说，这是他给我的一票。”",406109777,速食馒头,https://i2.hdslb.com/bfs/face/3bfc632b9f429b3c4e06dc7f8b17c92ff95f0f4a.jpg,0,1.74E+12,重庆
2.31E+11,0,1720972287,1156200565,摄影师Evan Vucci2021年就拿过一次普利策奖了，他很快还会再来一座[妙啊],2041316344,CoSmic_MURP,https://i1.hdslb.com/bfs/face/7b96b1137a1f10f2492732494259e2192a3976e9.jpg,1,1.74E+12,重庆
2.31E+11,0,1720954272,1156200565,子弹出膛的那一刻，上帝给川普投了一票,417409664,江的鱼丶,https://i2.hdslb.com/bfs/face/82b47108d16723f47970338d131cbdcc9a81147d.jpg,0,1.74E+12,广东
2.31E+11,0,1720945619,1156200565,不太可能是自导自演。自导自演不会往脑袋上招呼，现实是打中耳朵了，和脑袋就几厘米距离。要知道两百米开外稍微风吹草动子弹都会出现偏差，这要是自导自演我只能说懂王大概是不想活了敢这么玩。真要自导自演，也是往胸口肚子这些地方招呼，提前做好准备也看不出来，事后报道“前总统遭遇枪击万幸提前身穿防弹衣逃过一劫”，这不就既有面子也有里子？,433338776,那你没了呀,http://i0.hdslb.com/bfs/face/78fd8e0a444c05428a61b3770bd4b4c8a0f788c7.jpg,1,1.74E+12,山东
2.31E+11,0,1720919301,1156200565,摇头晃脑，无法锁定，[歪嘴],39264315,乱舞千叶殇z,http://i0.hdslb.com/bfs/face/2a28f2f7eab12932f7cc5eb9be5717cd904e6f19.jpg,0,1.74E+12,黑龙江
2.31E+11,0,1720919211,1156200565,至此，艺术已成[吃瓜][吃瓜][吃瓜],30820717,白露丨为霜,https://i1.hdslb.com/bfs/face/6fdf7020c299b65c9114a752affd5708f878aeb4.jpg,0,1.74E+12,黑龙江
2.31E+11,0,1720919154,1156200565,火速赶来[打call][打call][打call],23025884,近期古风卷,http://i1.hdslb.com/bfs/face/acf4aed3c92be1863ac17d0f77582f7ca05533d5.jpg,0,1.74E+12,江苏
2.31E+11,0,1720954950,1156200565,懂了吗，瞄胸永远比瞄头保险，别追求爆头,36975433,善伪物,https://i1.hdslb.com/bfs/face/a1306bbb5adccf46938ca7e773d33f283d5c9935.jpg,13,1.74E+12,安徽
2.31E+11,0,1720952191,1156200565,不是自导自演，现场观众那么多，枪手又是奔着爆头去的。,37446166,bili_社区秩序维护员,https://i1.hdslb.com/bfs/face/7d4c2b358675952e062411d0ff0a16e33f10fbbb.jpg,1,1.74E+12,四川
2.31E+11,0,1720936628,1156200565,现在这个形式，懂王可能早知道早迟会有这事了，所以反应很快。狠人,345707234,Allets12,https://i2.hdslb.com/bfs/face/fb79103e8b33547023e2010030b6889bba2b49bf.jpg,0,1.74E+12,浙江
2.31E+11,0,1720945201,1156200565,没有人比他更懂天命所归，上天庇佑[滑稽],1656007265,杞人哪能忧天,https://i0.hdslb.com/bfs/face/member/noface.jpg,0,1.74E+12,安徽
2.31E+11,0,1720935674,1156200565,其实照片外形更像苏联的那张政委的手枪,399742679,节能自爆君,http://i2.hdslb.com/bfs/face/aa45ff7a09fd21e082af0b741065d6e2c7febefb.jpg,0,1.74E+12,重庆
2.31E+11,0,1720919145,1156200565,来了！,1331913,催婚协会风纪委员,http://i0.hdslb.com/bfs/face/2d646c48a6acbdd8000c2d2cced34da499f1f131.jpg,0,1.74E+12,广东
2.32E+11,0,1721048418,1156200565,一天五百万播放，太离谱了,16482892,钛合金镶钻菊花,https://i1.hdslb.com/bfs/face/47f7b16c2f680ae823da7c0953929129d9361afc.jpg,2,1.74E+12,浙江
2.32E+11,0,1721020660,1156200565,他天生就是政治圣体，命悬一线还不忘煽动观众情绪，这个效果简直逆天,179026716,文SAMAR,https://i0.hdslb.com/bfs/face/5d17e454eb7db75b2dccf1f73c36fe8c3e9f1db9.jpg,0,1.74E+12,澳大利亚
2.32E+11,0,1721015066,1156200565,我觉得自导自演的可能性很低[喜极而泣]某种程度上来说，枪手离那么远，要在他摇头晃脑的时候保证把头打出血，但是又不能伤到他，这个难度，不是比爆头还要大吗？,1433215862,凉黛初薰,https://i2.hdslb.com/bfs/face/3c7ab34680dec54f32215cf4866c065497a064b1.jpg,4,1.74E+12,江西
2.31E+11,0,1720967529,1156200565,虽然不信神佛，但这次不得不说真的是天命所归[笑哭],6296159,St_Egoista,https://i2.hdslb.com/bfs/face/dcf9fe70b21116a89c1dd5a72733b19603b1c479.jpg,0,1.74E+12,甘肃
2.31E+11,0,1720964606,1156200565,上一个遭到刺杀没死的是美伶宗吧？然后大家就觉得他天命加身,177159522,千年00恒星之子,http://i0.hdslb.com/bfs/face/14e826ca6caedd5c0128ec7ec7c469df09b4e255.jpg,0,1.74E+12,贵州
2.31E+11,0,1720963123,1156200565,"系统提示：有人添加您为好友
乐宗：接受
系统提示：对方已撤回",286294432,哎呦豹豹大人啊,https://i1.hdslb.com/bfs/face/e58690dc854a1b18f6a09672d69df0cf9026c13c.jpg,1,1.74E+12,加拿大
2.31E+11,0,1720960784,1156200565,这个视频目前已经成为波士顿圆脸所有视频里的播放键第四了，而这才过了11个小时[贝拉kira_贝式疑问]太恐怖了，不愧是特朗普,91493482,桐生露娜,https://i1.hdslb.com/bfs/face/cef40b07b414ac11660daba5d867dccccaf76060.jpg,4,1.74E+12,贵州
2.31E+11,0,1720955286,1156200565,特勤内部应该也有参与的，楼顶全是他们的人，居然还能让他在制高点开这么多枪，怎么看都不合理,49133243,闻香识蕉,https://i2.hdslb.com/bfs/face/37c1462cb2f1eea0e00a318d4391ca157019a29b.jpg,0,1.74E+12,辽宁
2.31E+11,0,1720943283,1156200565,建国稳了，不存在输了，如果上不去 MAGA必定武装起义了。,92227680,尴尬的象牙蚌,https://i0.hdslb.com/bfs/face/0fdba53eae0cdeddaf13a68f75d332803504f513.jpg,0,1.74E+12,天津
2.31E+11,0,1720938453,1156200565,"文案我都可以抄袭一下替他们媒体写写了。就是单纯的借用一下
黄昏将至
我吃着汉堡包，喝着快乐水
想不通为什么这位富豪宁愿放下优越生活冒死参选，以至于被起诉千夫所指，甚至枪林弹雨流血受伤也仍旧登高而呼
我在深夜惊醒
突然想起
他是为我而伤的[响指]",82057605,UNing克斯,https://i0.hdslb.com/bfs/face/95367eabb97f5e09da77dc8d318c64a8f6eec47e.jpg,0,1.74E+12,浙江
2.31E+11,0,1720937597,1156200565,这照片的构图和意境真的可遇不可求，国旗倒悬，民众混乱，安保人员虽然在保护懂王但是角度原因更像是在领袖的臂膀之下寻求庇护，高举的右手即是在像世界呼吁自由，也像是挥舞星条旗不再落下。尤其是脸上的血，点睛之笔，勇敢而坚毅的领袖气质简直溢出屏幕[吃瓜][吃瓜][吃瓜],293112855,文一王山耳,https://i0.hdslb.com/bfs/face/5d3fc72813c4c179cb8faec25e5e80288b421035.jpg,0,1.74E+12,福建
2.31E+11,0,1720936235,1156200565,安倍：就是有点想你了[脱单doge],3.54E+15,一米七五的外乡人,https://i2.hdslb.com/bfs/face/7c7cbcb9810b3a097cc6c9ea45a33a0ea79af5b6.jpg,0,1.74E+12,安徽
2.31E+11,0,1720933640,1156200565,这下是manifest destiny昭昭天命了,164872823,巨型温斯顿,https://i2.hdslb.com/bfs/face/5e414a9d27da070a08d51328f637043068e99955.jpg,0,1.74E+12,广东
2.31E+11,0,1720919268,1156200565,安倍:哎哎哎   说好的会面 怎么放我鸽子[辣眼睛],373343,鬼舞十七,https://i2.hdslb.com/bfs/face/1d8e7dd14e9f49dab041c4eadb375a7d70bcbbfd.jpg,0,1.74E+12,内蒙古
2.31E+11,0,1720919166,1156200565,鬼鬼，这速度😆😆😆,13032909,KE神选泰图斯,https://i0.hdslb.com/bfs/face/a2dd4b22343dfb48c3fc636abf1ffaab501daf4c.jpg,1,1.74E+12,广东
2.31E+11,0,1720924522,1156200565,下一步要我是trump，我就顶着绷带去慰问那个死亡的人的家属，给一百万经济补偿，然后说感谢他的支持，对他的逝去感到遗憾并督促查清相关者，还要转播，就赌没有下一轮刺杀。,69863345,multiphaseiso,http://i0.hdslb.com/bfs/face/member/noface.jpg,1,1.74E+12,北京
2.31E+11,0,1720919507,1156200565,共和党感觉更像最大受益者，川普死了可以正好顺着愤怒的民意推出一个更受掌控的代表人，活着那就川普无敌稳赢[哦呼],363502403,落榜文化生,https://i2.hdslb.com/bfs/face/b7224ae73e00cf2571baad42ebe07c8cc8ea6ac2.jpg,2,1.74E+12,安徽
2.31E+11,0,1720919400,1156200565,这件事情告诉我们，成大事者，必须把步枪换成RPG[doge],442725650,墨兮兮的喵,https://i2.hdslb.com/bfs/face/a2c61cd481aac157138f5027a9e83dad801a4815.jpg,1,1.74E+12,四川
2.31E+11,0,1720919248,1156200565,刚刚看到，突然清醒了,2158381,讓__,https://i1.hdslb.com/bfs/face/2e2d861a6433323bb58d6a41d7c526c52b7d8ef3.jpg,0,1.74E+12,北京
2.32E+11,0,1721013652,1156200565,时伪登临朝四年，帝聚众于宾州，歹徒枪之，伤右耳。众乱，左右预拥帝退，帝无惧色攘臂振呼大曰“击贼 ”。民乃安，奋起皆言“大难不死 此天命加于帝也”——《美史·美武宗唐纳德·特朗普本纪》,12996608,baigao1101,https://i2.hdslb.com/bfs/face/fb79103e8b33547023e2010030b6889bba2b49bf.jpg,0,1.74E+12,广东
2.32E+11,0,1720984088,1156200565,因突发事故，特朗普总统和安倍首相的会面将延期,8403977,池宇的脑洞世界,http://i2.hdslb.com/bfs/face/e25d6b10cf70ba228047bb868a7cd28c5259731d.jpg,0,1.74E+12,广东
2.31E+11,0,1720956444,1156200565,这可以百分百确定是政治斗争，反对派急了。军工企业有很大的可能，拜登不可能。也有可能是他的团队。,3.55E+15,嘴硬特咖辉,https://i2.hdslb.com/bfs/face/d684f7628a51d44dbbc38da24fe02a4232ae1968.jpg,0,1.74E+12,安徽
2.31E+11,0,1720954661,1156200565,说自导自演的人，哪怕川普死了，依然会说是自导自演的，只不过是演砸了。,176497392,我了个X坑啊,https://i0.hdslb.com/bfs/face/191426d70696c69a251b0da4b56d430b165f9051.jpg,2,1.74E+12,四川
2.31E+11,0,1720950700,1156200565,说自导自演的如果不是摇头晃脑的话，子弹就达打到他的头了，耳朵和脑袋多近有些杠精不清楚的话自己摸一摸,481043950,魂雨来兮,https://i1.hdslb.com/bfs/face/5a4b197a99df7d7d5f6f7183f31ef74e905b99f2.jpg,1,1.74E+12,海南
2.31E+11,0,1720945668,1156200565,居然还有人说演的，人家是步枪打的，打中了耳朵，还连续打了好几发。,486795881,青_朷,https://i2.hdslb.com/bfs/face/a1c824fe743f0ce6e928d5f1f46ee634a7c69fd0.jpg,0,1.74E+12,广东
2.31E+11,0,1720942267,1156200565,"白宫，拜登拿起电话：“我是拜登，我要和川普总统的遗孀讲话！”

“遗孀？ 川普总统可一直都活着呀？”电话另一端传来惊讶的声音。

老登放下电话，冲身旁的CIA头子大喊：“混蛋！不是说行动万无一失的吗？”",20981326,皮皮土79_BG8AVS,https://i1.hdslb.com/bfs/face/3cecd4d931961c6bea3572ee3421f3fea9a4d86a.jpg,0,1.74E+12,辽宁
2.31E+11,0,1720937584,1156200565,美国这是又更新版本了 从政治迫害到政治追杀,20598446,雨梦晨曦,https://i2.hdslb.com/bfs/face/64ee8d42f8ba7bb8531fa3ad806bf66fa31cdfcf.jpg,0,1.74E+12,广东
2.31E+11,0,1720924477,1156200565,这特么是天命啊。。[笑哭][笑哭]我看了其他视频。背后射来的子弹。懂王不晃头就死了[笑哭],2218931,高含麻量自干五,https://i2.hdslb.com/bfs/face/09cae7af171edf96369bad4d745404d23929e102.jpg,0,1.74E+12,四川
2.31E+11,0,1720923515,1156200565,刺客大怒，伏枪射中懂王，懂王伤颊，乃扪耳曰：“虏中吾耳。”,287390225,无我五天,https://i2.hdslb.com/bfs/face/c77cc08d53e31efbf823ff04321770261edfb600.webp,0,1.74E+12,江苏
2.31E+11,0,1720920472,1156200565,原定于晚些时候川普与安倍的会晤因“突发意外”暂时取消,691835588,我可是黑魔王,https://i2.hdslb.com/bfs/face/99e35d44c8a2e241ea10c89c9e546c636fd506a8.jpg,0,1.74E+12,广东
